CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.AA.3655.11A.01R.1723.07	0	0	0.288	0.108	0.063	0	0.179	0.25	0.354	0.203	0.328	0.008	0.064	0.208	0.3	0.136	0.141	0.06	0.291	0.333	0.129	0.008	0.184	0.278	0.755
TCGA.AA.3660.01A.01R.1723.07	0	0.077	0.238	0.127	0.109	0.081	0.297	0.125	0.281	0.169	0.138	0	0.028	0.155	0.21	0.188	0.109	0.169	0.258	0.213	0.185	0.028	0.126	0.173	0.692
TCGA.AA.3660.11A.01R.1723.07	0	0	0.326	0.06	0.067	0	0.198	0.193	0.356	0.242	0.319	0.007	0.082	0.176	0.308	0.155	0.167	0.087	0.27	0.355	0.151	0.012	0.143	0.279	0.782
TCGA.AA.3662.01A.01R.1723.07	0	0.075	0.302	0.165	0.038	0.116	0.333	0.176	0.247	0.161	0.096	0	0.036	0.085	0.188	0.2	0.096	0.216	0.333	0.268	0.201	0.028	0.088	0.175	0.768
TCGA.AA.3662.11A.01R.1723.07	0	0	0.324	0.093	0.054	0.001	0.213	0.143	0.364	0.273	0.289	0	0.041	0.138	0.298	0.191	0.146	0.111	0.314	0.347	0.152	0.022	0.162	0.245	0.813
TCGA.AA.3663.01A.01R.1723.07	0	0	0.308	0.136	0.098	0.203	0.312	0.236	0.172	0.086	0.124	0	0.057	0.121	0.199	0.254	0.047	0.213	0.388	0.168	0.163	0.027	0.001	0.194	0.695
TCGA.AA.3663.11A.01R.1723.07	0	0.018	0.286	0.05	0.081	0.015	0.206	0.14	0.348	0.206	0.364	0.007	0.028	0.216	0.324	0.114	0.154	0.13	0.323	0.293	0.16	0	0.217	0.22	0.784
TCGA.AA.3675.01A.02R.0905.07	0	0.033	0.192	0.116	0.013	0.157	0.31	0.209	0.12	0.216	0.182	0.025	0.015	0.141	0.209	0.174	0.041	0.166	0.255	0.2	0.191	0.008	0.147	0.119	0.629
TCGA.AA.3685.01A.02R.A32Z.07	0	0	0.337	0.171	0.09	0.095	0.291	0.323	0.221	0.114	0.325	0.024	0.046	0.094	0.245	0.203	0.104	0.167	0.351	0.342	0.135	0.025	0.093	0.246	0.798
TCGA.AA.3697.01A.01R.1723.07	0	0.012	0.269	0.12	0.104	0.107	0.308	0.185	0.266	0.147	0.276	0.043	0.021	0.116	0.188	0.212	0.12	0.171	0.283	0.186	0.204	0.006	0.113	0.19	0.72
TCGA.AA.3697.11A.01R.1723.07	0	0.013	0.309	0.093	0.086	0.037	0.264	0.176	0.338	0.187	0.336	0	0.011	0.229	0.263	0.242	0.154	0.115	0.36	0.289	0.146	0.018	0.162	0.211	0.817
TCGA.AA.3712.01A.21R.1723.07	0	0.056	0.315	0.182	0.041	0.128	0.33	0.288	0.152	0.122	0.076	0	0.015	0.126	0.167	0.219	0.049	0.227	0.3	0.216	0.175	0.033	0.078	0.169	0.697
TCGA.AA.3712.11A.01R.1723.07	0	0	0.292	0.074	0.081	0.004	0.238	0.11	0.342	0.238	0.329	0	0.062	0.166	0.299	0.158	0.159	0.125	0.33	0.267	0.168	0	0.168	0.226	0.779
TCGA.AA.3713.01A.21R.1723.07	0	0.04	0.359	0.137	0.074	0.126	0.34	0.281	0.241	0.122	0.282	0.03	0.046	0.075	0.242	0.176	0.108	0.193	0.314	0.278	0.149	0.002	0.145	0.212	0.767
